,NAME,URL
69,CoolMenClub,https://www.etsy.com/il-en/shop/CoolMenClub?ref=ss_profile
70,ThatchandSloane,https://www.etsy.com/il-en/shop/ThatchandSloane?ref=ss_profile
71,DESIGNSBYSILVINA,https://www.etsy.com/il-en/shop/DESIGNSBYSILVINA?ref=ss_profile
72,NancyFeDesigns,https://www.etsy.com/il-en/shop/NancyFeDesigns?ref=ss_profile
73,OldJewelBox,https://www.etsy.com/il-en/shop/OldJewelBox?ref=ss_profile
74,MorrokWind,https://www.etsy.com/il-en/shop/MorrokWind?ref=ss_profile
75,ThriftyFindsByKelly,https://www.etsy.com/il-en/shop/ThriftyFindsByKelly?ref=ss_profile
76,iamsonotcool,https://www.etsy.com/il-en/shop/iamsonotcool?ref=ss_profile
77,ccftreasures,https://www.etsy.com/il-en/shop/ccftreasures?ref=ss_profile
78,Shimbra,https://www.etsy.com/il-en/shop/Shimbra?ref=ss_profile
79,JaipurBangles,https://www.etsy.com/il-en/shop/JaipurBangles?ref=ss_profile
80,HilltreeCreations,https://www.etsy.com/il-en/shop/HilltreeCreations?ref=ss_profile
81,SundanceMountains,https://www.etsy.com/il-en/shop/SundanceMountains?ref=ss_profile
82,CuoreBabystore,https://www.etsy.com/il-en/shop/CuoreBabystore?ref=ss_profile
83,shoprootedintruth,https://www.etsy.com/il-en/shop/shoprootedintruth?ref=ss_profile
84,JasminoGifts,https://www.etsy.com/il-en/shop/JasminoGifts?ref=ss_profile
85,everlymadejewelry,https://www.etsy.com/il-en/shop/everlymadejewelry?ref=ss_profile
86,DolmabeadsShop,https://www.etsy.com/il-en/shop/DolmabeadsShop?ref=ss_profile
87,SovaBrooch,https://www.etsy.com/il-en/shop/SovaBrooch?ref=ss_profile
88,CrazyBlessedShop,https://www.etsy.com/il-en/shop/CrazyBlessedShop?ref=ss_profile
89,izuly,https://www.etsy.com/il-en/shop/izuly?ref=ss_profile
90,PrayerfullyMade4You,https://www.etsy.com/il-en/shop/PrayerfullyMade4You?ref=ss_profile
91,leonikadesign,https://www.etsy.com/il-en/shop/leonikadesign?ref=ss_profile
92,sistersofthesun,https://www.etsy.com/il-en/shop/sistersofthesun?ref=ss_profile
93,CabochonLucas,https://www.etsy.com/il-en/shop/CabochonLucas?ref=ss_profile
94,Efsterling,https://www.etsy.com/il-en/shop/Efsterling?ref=ss_profile
95,DOROFEYAJewelry,https://www.etsy.com/il-en/shop/DOROFEYAJewelry?ref=ss_profile
96,AFewPearls,https://www.etsy.com/il-en/shop/AFewPearls?ref=ss_profile
97,LesiaBankova,https://www.etsy.com/il-en/shop/LesiaBankova?ref=ss_profile
98,SiestaSilverJewelry,https://www.etsy.com/il-en/shop/SiestaSilverJewelry?ref=ss_profile
99,Dleesnow,https://www.etsy.com/il-en/shop/Dleesnow?ref=ss_profile
100,SMLJGifts,https://www.etsy.com/il-en/shop/SMLJGifts?ref=ss_profile
101,NandiJewelry,https://www.etsy.com/il-en/shop/NandiJewelry?ref=ss_profile
102,NellySteelPiercing,https://www.etsy.com/il-en/shop/NellySteelPiercing?ref=ss_profile
103,CaitlynMinimalist,https://www.etsy.com/il-en/shop/CaitlynMinimalist?ref=ss_profile
104,huiyitan,https://www.etsy.com/il-en/shop/huiyitan?ref=ss_profile
105,OrangeBridgeSupply,https://www.etsy.com/il-en/shop/OrangeBridgeSupply?ref=ss_profile
106,MiraClesStudio,https://www.etsy.com/il-en/shop/MiraClesStudio?ref=ss_profile
107,Chillilimeboutique,https://www.etsy.com/il-en/shop/Chillilimeboutique?ref=ss_profile
108,BelieveLondonCo,https://www.etsy.com/il-en/shop/BelieveLondonCo?ref=ss_profile
109,JewelsByMoonli,https://www.etsy.com/il-en/shop/JewelsByMoonli?ref=ss_profile
110,emilyjdesign,https://www.etsy.com/il-en/shop/emilyjdesign?ref=ss_profile
111,Galiga,https://www.etsy.com/il-en/shop/Galiga?ref=ss_profile
112,mooriespersonalized,https://www.etsy.com/il-en/shop/mooriespersonalized?ref=ss_profile
113,Alaridesign,https://www.etsy.com/il-en/shop/Alaridesign?ref=ss_profile
114,MUKAstudio,https://www.etsy.com/il-en/shop/MUKAstudio?ref=ss_profile
115,CliveRoddy,https://www.etsy.com/il-en/shop/CliveRoddy?ref=ss_profile
116,LolaKatrineBijoux,https://www.etsy.com/il-en/shop/LolaKatrineBijoux?ref=ss_profile
117,JamJewels1,https://www.etsy.com/il-en/shop/JamJewels1?ref=ss_profile
118,GoldPersonalized,https://www.etsy.com/il-en/shop/GoldPersonalized?ref=ss_profile
119,flonightingales,https://www.etsy.com/il-en/shop/flonightingales?ref=ss_profile
120,MoonliStuds,https://www.etsy.com/il-en/shop/MoonliStuds?ref=ss_profile
121,TheNotaBeneStudio,https://www.etsy.com/il-en/shop/TheNotaBeneStudio?ref=ss_profile
122,PixieDustBeads,https://www.etsy.com/il-en/shop/PixieDustBeads?ref=ss_profile
123,BourgeoisGlass,https://www.etsy.com/il-en/shop/BourgeoisGlass?ref=ss_profile
124,StampsINK,https://www.etsy.com/il-en/shop/StampsINK?ref=ss_profile
125,Tattoorary,https://www.etsy.com/il-en/shop/Tattoorary?ref=ss_profile
126,LongLaneJewelry,https://www.etsy.com/il-en/shop/LongLaneJewelry?ref=ss_profile
127,SimplicityCharms,https://www.etsy.com/il-en/shop/SimplicityCharms?ref=ss_profile
128,delezhen,https://www.etsy.com/il-en/shop/delezhen?ref=ss_profile
129,ThePurpleRosebud,https://www.etsy.com/il-en/shop/ThePurpleRosebud?ref=ss_profile
130,ElegantSwan,https://www.etsy.com/il-en/shop/ElegantSwan?ref=ss_profile
131,BlushesAndGold,https://www.etsy.com/il-en/shop/BlushesAndGold?ref=ss_profile
132,TheLittleStampingCo,https://www.etsy.com/il-en/shop/TheLittleStampingCo?ref=ss_profile
133,KSLleatherfactory,https://www.etsy.com/il-en/shop/KSLleatherfactory?ref=ss_profile
134,ARCJewellery,https://www.etsy.com/il-en/shop/ARCJewellery?ref=ss_profile
135,k2jewels,https://www.etsy.com/il-en/shop/k2jewels?ref=ss_profile
136,miniLALI,https://www.etsy.com/il-en/shop/miniLALI?ref=ss_profile
137,SilverEngravedGifts,https://www.etsy.com/il-en/shop/SilverEngravedGifts?ref=ss_profile
138,VioletsAndVows,https://www.etsy.com/il-en/shop/VioletsAndVows?ref=ss_profile
139,zafirenia,https://www.etsy.com/il-en/shop/zafirenia?ref=ss_profile
140,tiposcreations,https://www.etsy.com/il-en/shop/tiposcreations?ref=ss_profile
141,MoonMagicMakings,https://www.etsy.com/il-en/shop/MoonMagicMakings?ref=ss_profile
142,SeolGold,https://www.etsy.com/il-en/shop/SeolGold?ref=ss_profile
143,MermaidBeadsJewelry,https://www.etsy.com/il-en/shop/MermaidBeadsJewelry?ref=ss_profile
144,BabyEarringsOnline,https://www.etsy.com/il-en/shop/BabyEarringsOnline?ref=ss_profile
145,AbizaJewelry,https://www.etsy.com/il-en/shop/AbizaJewelry?ref=ss_profile
146,Wavejewels,https://www.etsy.com/il-en/shop/Wavejewels?ref=ss_profile
147,IMESILVER,https://www.etsy.com/il-en/shop/IMESILVER?ref=ss_profile
148,doctorgus,https://www.etsy.com/il-en/shop/doctorgus?ref=ss_profile
149,gazellejewelry,https://www.etsy.com/il-en/shop/gazellejewelry?ref=ss_profile
150,Sunvsmoon,https://www.etsy.com/il-en/shop/Sunvsmoon?ref=ss_profile
151,Gispandiamonds,https://www.etsy.com/il-en/shop/Gispandiamonds?ref=ss_profile
152,Acaciahawaii,https://www.etsy.com/il-en/shop/Acaciahawaii?ref=ss_profile
153,LoitsuCrafts,https://www.etsy.com/il-en/shop/LoitsuCrafts?ref=ss_profile
154,TheBonnyBoutique,https://www.etsy.com/il-en/shop/TheBonnyBoutique?ref=ss_profile
155,Marajoyce,https://www.etsy.com/il-en/shop/Marajoyce?ref=ss_profile
156,TuckerTimePieces,https://www.etsy.com/il-en/shop/TuckerTimePieces?ref=ss_profile
157,farmgirlpaints,https://www.etsy.com/il-en/shop/farmgirlpaints?ref=ss_profile
158,TedandMag,https://www.etsy.com/il-en/shop/TedandMag?ref=ss_profile
159,SilverJewelryArcade,https://www.etsy.com/il-en/shop/SilverJewelryArcade?ref=ss_profile
