,NAME,URL
70,ohannescorlu,https://www.etsy.com/il-en/shop/ohannescorlu?ref=ss_profile
71,CoralizedDesign,https://www.etsy.com/il-en/shop/CoralizedDesign?ref=ss_profile
72,MoonliStuds,https://www.etsy.com/il-en/shop/MoonliStuds?ref=ss_profile
73,BubuRuby,https://www.etsy.com/il-en/shop/BubuRuby?ref=ss_profile
74,KittyGemstones,https://www.etsy.com/il-en/shop/KittyGemstones?ref=ss_profile
75,MiraClesStudio,https://www.etsy.com/il-en/shop/MiraClesStudio?ref=ss_profile
76,JulieElizabethCo,https://www.etsy.com/il-en/shop/JulieElizabethCo?ref=ss_profile
77,ETERNIADA,https://www.etsy.com/il-en/shop/ETERNIADA?ref=ss_profile
78,DesignedByLei,https://www.etsy.com/il-en/shop/DesignedByLei?ref=ss_profile
79,HylianCrafts,https://www.etsy.com/il-en/shop/HylianCrafts?ref=ss_profile
80,jewelryTang,https://www.etsy.com/il-en/shop/jewelryTang?ref=ss_profile
81,SunlightSilver,https://www.etsy.com/il-en/shop/SunlightSilver?ref=ss_profile
82,luvmeishop,https://www.etsy.com/il-en/shop/luvmeishop?ref=ss_profile
83,UiJewelryMaui,https://www.etsy.com/il-en/shop/UiJewelryMaui?ref=ss_profile
84,VIVIANNASCHMUCK,https://www.etsy.com/il-en/shop/VIVIANNASCHMUCK?ref=ss_profile
85,DreamCuffJewelry,https://www.etsy.com/il-en/shop/DreamCuffJewelry?ref=ss_profile
86,ticomo,https://www.etsy.com/il-en/shop/ticomo?ref=ss_profile
87,Alaridesign,https://www.etsy.com/il-en/shop/Alaridesign?ref=ss_profile
88,IDreamofJewelry,https://www.etsy.com/il-en/shop/IDreamofJewelry?ref=ss_profile
89,AdornLafayette,https://www.etsy.com/il-en/shop/AdornLafayette?ref=ss_profile
90,Beadaboutique,https://www.etsy.com/il-en/shop/Beadaboutique?ref=ss_profile
91,OurPrettyUniverse,https://www.etsy.com/il-en/shop/OurPrettyUniverse?ref=ss_profile
92,MeadowbelleMarket,https://www.etsy.com/il-en/shop/MeadowbelleMarket?ref=ss_profile
93,tammnoony,https://www.etsy.com/il-en/shop/tammnoony?ref=ss_profile
94,Cleopatravintage,https://www.etsy.com/il-en/shop/Cleopatravintage?ref=ss_profile
95,BohemianFringe,https://www.etsy.com/il-en/shop/BohemianFringe?ref=ss_profile
96,WaveofLife,https://www.etsy.com/il-en/shop/WaveofLife?ref=ss_profile
97,MyInitialCharm,https://www.etsy.com/il-en/shop/MyInitialCharm?ref=ss_profile
98,LandonLacey,https://www.etsy.com/il-en/shop/LandonLacey?ref=ss_profile
99,EmeryandOpal,https://www.etsy.com/il-en/shop/EmeryandOpal?ref=ss_profile
100,MayaMor,https://www.etsy.com/il-en/shop/MayaMor?ref=ss_profile
101,TuckerTimePieces,https://www.etsy.com/il-en/shop/TuckerTimePieces?ref=ss_profile
102,LolaKatrineBijoux,https://www.etsy.com/il-en/shop/LolaKatrineBijoux?ref=ss_profile
103,Tattoorary,https://www.etsy.com/il-en/shop/Tattoorary?ref=ss_profile
104,JensBeadBox,https://www.etsy.com/il-en/shop/JensBeadBox?ref=ss_profile
105,Silveristic,https://www.etsy.com/il-en/shop/Silveristic?ref=ss_profile
106,PixieDustBeads,https://www.etsy.com/il-en/shop/PixieDustBeads?ref=ss_profile
107,AnnalisJewelry,https://www.etsy.com/il-en/shop/AnnalisJewelry?ref=ss_profile
108,AhneJewelry,https://www.etsy.com/il-en/shop/AhneJewelry?ref=ss_profile
109,TheBlackbirdBijou,https://www.etsy.com/il-en/shop/TheBlackbirdBijou?ref=ss_profile
110,treasureimports,https://www.etsy.com/il-en/shop/treasureimports?ref=ss_profile
111,HagarTalmor,https://www.etsy.com/il-en/shop/HagarTalmor?ref=ss_profile
112,JewelryMadebyMaggie,https://www.etsy.com/il-en/shop/JewelryMadebyMaggie?ref=ss_profile
113,llmermaid,https://www.etsy.com/il-en/shop/llmermaid?ref=ss_profile
114,LuvHandmadeXoXo,https://www.etsy.com/il-en/shop/LuvHandmadeXoXo?ref=ss_profile
115,SimpleDaintyJewelry,https://www.etsy.com/il-en/shop/SimpleDaintyJewelry?ref=ss_profile
116,MermaidBeadsJewelry,https://www.etsy.com/il-en/shop/MermaidBeadsJewelry?ref=ss_profile
117,SolaredeaJewelry,https://www.etsy.com/il-en/shop/SolaredeaJewelry?ref=ss_profile
118,GlamAndCoDesignsLtd,https://www.etsy.com/il-en/shop/GlamAndCoDesignsLtd?ref=ss_profile
119,ChainOfBeing,https://www.etsy.com/il-en/shop/ChainOfBeing?ref=ss_profile
120,TomkaStore,https://www.etsy.com/il-en/shop/TomkaStore?ref=ss_profile
121,Billyrebs,https://www.etsy.com/il-en/shop/Billyrebs?ref=ss_profile
122,GemsNJewells,https://www.etsy.com/il-en/shop/GemsNJewells?ref=ss_profile
123,AlyaPersonalized,https://www.etsy.com/il-en/shop/AlyaPersonalized?ref=ss_profile
